landmark,latitude,longitude,wiki_title,wiki_content
"Charles Bridge, Prague, Czech Republic",50.0870353,14.4077757,Charles Bridge,"Charles Bridge (Czech: Karlův most [ˈkarluːf ˈmost] ) is a medieval stone arch bridge that crosses the Vltava river in Prague, Czech Republic. Its construction started in 1357 under the auspices of King Charles IV, and finished in the early 15th century. The bridge replaced the old Judith Bridge built 1158–1172 that had been badly damaged by a flood in 1342. This new bridge was originally called Stone Bridge (Kamenný most) or Prague Bridge (Pražský most), but has been referred to as ""Charles Bridge"" since 1870.
As the only means of crossing the river Vltava until 1841, Charles Bridge was the most important connection between Prague Castle and the city's Old Town and adjacent areas. This land connection made Prague important as a trade route between Eastern and Western Europe.
The bridge is 516 metres (1,693 ft) long and nearly 10 metres (33 ft) wide. Following the example of the Stone Bridge in Regensburg, it was built as a bow bridge with 16 arches shielded by ice guards. It is protected by three bridge towers, two on the Lesser Quarter side (including the Malá Strana Bridge Tower) and one on the Old Town side, the Old Town Bridge Tower. The bridge is decorated by a continuous alley of 30 statues and statuaries, most of them baroque-style, originally erected around 1700, but now all have been replaced by replicas.
The bridge is currently undergoing a twenty-year process of structural inspections, restoration, and repairs. The process started in late 2019, and is expected to cost 45–60 million CZK (US$1.9–2.6 million).

"
"Palace of Culture and Science, Warsaw, Poland",52.2317641,21.005799675758887,Palace of Culture and Science,"The Palace of Culture and Science (Polish: Pałac Kultury i Nauki; abbreviated PKiN) is a notable high-rise building in central Warsaw, Poland. With a total height of 237 metres (778 ft), it is the second tallest building in both Warsaw and Poland (after the Varso Tower), the sixth tallest building in the European Union and one of the tallest on the European continent. At the time of its completion in 1955, the Palace was the eighth tallest building in the world, retaining the position until 1961; it was also briefly the tallest clock tower in the world, from 2000 until the 2002 installation of a clock mechanism on the NTT Docomo Yoyogi Building in Tokyo, Japan.
Motivated by Polish historical architecture and American art deco high-rise buildings, the Palace of Culture and Science was designed by Soviet-Russian architect Lev Rudnev in ""Seven Sisters"" style and is informally referred to as the Eighth Sister.
The Palace houses various public and cultural institutions such as theatres, cinemas, libraries, university faculties and authorities of the Polish Academy of Sciences. Surrounding the building are a collection of sculptures representing figures of the fields of culture and science, with the main entrance featuring sculptures of Polish astronomer Nicolaus Copernicus, by Ludwika Nitschowa, and Polish poet Adam Mickiewicz, by Stanisław Horno-Popławski. Since 2007, the PKiN has been enlisted in the Registry of Objects of Cultural Heritage.

"
"Vatican Museums, Vatican City",41.9049708,12.455055118428698,Vatican Museums,"The Vatican Museums (Italian: Musei Vaticani; Latin: Musea Vaticana) are the public museums of Vatican City, enclave of Rome. They display works from the immense collection amassed by the Catholic Church and the papacy throughout the centuries, including several of the most well-known Roman sculptures and most important masterpieces of Renaissance art in the world. The museums contain roughly 70,000 works, of which 20,000 are on display, and currently employs 640 people who work in 40 different administrative, scholarly, and restoration departments.
Pope Julius II founded the museums in the early 16th century. The Sistine Chapel, with its ceiling and altar wall decorated by Michelangelo, and the Stanze di Raffaello (decorated by Raphael) are on the visitor route through the Vatican Museums.
In 2023, the Vatican Museums were visited by 6.8 million persons, They ranked second in the List of most-visited art museums in the world after the Louvre, third on the list of most-visited museums
There are 24 galleries, or rooms, in total, with the Sistine Chapel, notably, being the last room visited within the Museum."
"Royal Palace of Brussels, Brussels, Belgium",50.8862976,4.359965686984923,Royal Palace of Brussels,"The Royal Palace of Brussels (French: Palais royal de Bruxelles, pronounced [pa.lɛ ʁwa.jal də bʁy.sɛl]; Dutch: Koninklijk Paleis van Brussel [ˈkoːnɪŋklək paːˈlɛis fɑm ˈbrʏsəl]; German: Königlicher Palast von Brüssel) is the official palace of the King and Queen of the Belgians in the centre of the nation's capital, Brussels. However, it is not used as a royal residence, as the king and his family live in the Royal Palace of Laeken in northern Brussels. The website of the Belgian Monarchy describes the function of the Royal Palace as follows: The Royal Palace is where His Majesty the King exercises his prerogatives as Head of State, grants audiences and deals with affairs of state. Apart from the offices of the King and the Queen, the Royal Palace houses the services of the Grand Marshal of the Court, the King's Head of Cabinet, the Head of the King's Military Household and the Intendant of the King's Civil List. The Royal Palace also includes the State Rooms where large receptions are held, as well as the apartments provided for foreign Heads of State during official visits.
The first nucleus of the present-day building dates from the end of the 18th century. However, the grounds on which the Royal Palace stands were once part of the Coudenberg Palace, a very old palatial complex that dated back to the Middle Ages. The existing facade was only built after 1900 on the initiative of King Leopold II.
The Royal Palace is situated in front of Brussels Park, from which it is separated by a long square called the Place des Palais/Paleizenplein. This area is served by Brussels-Central railway station, as well as by the metro stations Parc/Park (on lines 1 and 5) and Trône/Troon (on lines 2 and 6)."
"Tower of London, London, United Kingdom",51.508217,-0.0761879025700761,Tower of London,"The Tower of London, officially His Majesty's Royal Palace and Fortress of the Tower of London, is a historic  castle on the north bank of the River Thames in central London, England. It lies within the London Borough of Tower Hamlets, which is separated from the eastern edge of the square mile of the City of London by the open space known as Tower Hill. It was founded toward the end of 1066 as part of the Norman Conquest. The White Tower, which gives the entire castle its name, was built by William the Conqueror in 1078 and was initially a resented symbol of oppression, inflicted upon London by the new Norman ruling class. The castle was also used as a prison from 1100 (Ranulf Flambard) until 1952 (Kray twins), although that was not its primary purpose. A grand palace early in its history, it served as a royal residence. As a whole, the Tower is a complex of several buildings set within two concentric rings of defensive walls and a moat. There were several phases of expansion, mainly under kings Richard I, Henry III, and Edward I in the 12th and 13th centuries. The general layout established by the late 13th century remains despite later activity on the site.
The Tower of London has played a prominent role in English history. It was besieged several times, and controlling it has been important to controlling the country. The Tower has served variously as an armoury, a treasury, a menagerie, the home of the Royal Mint, a public record office, and the home of the Crown Jewels of England. From the early 14th century until the reign of Charles II in the 17th century, the monarch would traditionally prepare for several nights at the Tower, and lead a procession from there to Westminster Abbey for their coronation. In the absence of the monarch, the Constable of the Tower was in charge of the castle. This was a powerful and trusted position in the medieval period. In the late 15th century, the Princes in the Tower were housed at the castle when they mysteriously disappeared, presumed murdered. Under the Tudors, the Tower became used less as a royal residence, and despite attempts to refortify and repair the castle, its defences lagged behind developments to deal with artillery.
The zenith of the castle's use as a prison was the 16th and 17th centuries, when many figures who had fallen into disgrace, such as Elizabeth I before she became queen, Sir Walter Raleigh, and Elizabeth Throckmorton, were held within its walls. This use has led to the phrase ""sent to the Tower"". Despite its enduring reputation as a place of torture and death, popularised by 16th-century religious propagandists and 19th-century writers, only seven people were executed within the Tower before the world wars of the 20th century. Executions were more commonly held on the notorious Tower Hill to the north of the castle, with 112 occurring there over a 400-year period. In the latter half of the 19th century, institutions such as the Royal Mint moved out of the castle to other locations, leaving many buildings empty. Anthony Salvin and John Taylor took the opportunity to restore the Tower to what was felt to be its medieval appearance, clearing out many of the vacant post-medieval structures.
In the First and Second World Wars, the Tower was again used as a prison and witnessed the executions of 12 men for espionage. After the Second World War, damage caused during the Blitz was repaired, and the castle reopened to the public. Today, the Tower of London is one of the country's most popular tourist attractions. Under the ceremonial charge of the Constable of the Tower, operated by the Resident Governor of the Tower of London and Keeper of the Jewel House, and guarded by the Yeomen Warders, the property is cared for by the charity Historic Royal Palaces and is protected as a World Heritage Site."
"Uspenski Cathedral, Helsinki, Finland",60.16845275,24.959932235267857,Uspenski Cathedral,"Uspenski Cathedral (Finnish: Uspenskin katedraali, Swedish: Uspenskijkatedralen) is a Greek Orthodox or Eastern Orthodox cathedral in Helsinki, Finland, and main cathedral of the Orthodox Church of Finland, dedicated to the Dormition of the Theotokos (the Virgin Mary). Its name comes from the Old Church Slavonic word uspenie, which denotes the Dormition. It is the largest Greek Orthodox church in Northern Europe."
"Saint Isaac's Cathedral, Saint Petersburg, Russia",59.93407845,30.3061419662862,Saint Isaac's Cathedral,"Saint Isaac's Cathedral or Isaakievskiy Sobor (Russian: Исаа́киевский Собо́р, romanized: Isaákiyevskiy Sobór) is a large architectural landmark cathedral that currently functions as a museum with occasional church services in Saint Petersburg, Russia. It is dedicated to Saint Isaac of Dalmatia, a patron saint of Peter the Great, who had been born on the feast day of that saint. It was originally built as a cathedral but was turned into a museum by the Soviet government in 1931 and has remained a museum ever since, with church services held in a side chapel since the 1990s. In 2017, the Governor of Saint Petersburg offered to transfer the cathedral back to the Russian Orthodox Church, but this was not accomplished due to the protests of St Petersburg citizens opposing the offer.

"
"Catherine Palace, Saint Petersburg, Russia",59.7157835,30.3963517,Catherine Palace,"The Catherine Palace (Russian: Екатерининский дворец, romanized: Yekaterininskiy dvorets) is a Rococo palace in Tsarskoye Selo (Pushkin), located 30 kilometres (19 mi) south of St. Petersburg, Russia. It was the summer residence of the Russian tsars. The palace is part of the World Heritage Site Saint Petersburg and Related Groups of Monuments."
"Plaka District, Athens, Greece",37.978706700000004,23.732995067559926,Plaka,"Pláka (Greek: Πλάκα) is the old historical neighborhood of Athens, clustered around the northern and eastern slopes of the Acropolis, and incorporating labyrinthine streets and neoclassical architecture. Plaka is built on top of the residential areas of the ancient town of Athens. It is known as the ""Neighborhood of the Gods"" due to its proximity to the Acropolis and its many archaeological sites."
"Egyptian Museum, Turin, Italy",45.068435,7.6843506,Museo Egizio,"The Museo Egizio (Italian pronunciation: [muˈzɛːo eˈdʒittsjo]) or Egyptian Museum is an archaeological museum in Turin, Italy, specializing in Egyptian archaeology and anthropology. It houses one of the largest collections of Egyptian antiquities, with more than 30,000 artifacts, and is considered the second most important Egyptological collection in the world, after the Egyptian Museum of Cairo. In 2019, it received 853,320 visitors, making it 
one of the most visited museums in Italy."
"Calanques National Park, Marseille, France",43.1993373,5.5529337,Calanques National Park,"Calanques National Park (French: Parc national des Calanques) is a French national park located on the Mediterranean coast in Bouches-du-Rhône, Southern France. It was established in 2012 and extends over 520 km2 (201 sq mi), of which 85 km2 (33 sq mi) is land, while the remaining is marine area. It includes parts of the Massif des Calanques stretching between Marseille's southern arrondissements, Cassis and La Ciotat. Some of the park's best known features include the Calanque de Sormiou, Calanque de Morgiou, Calanque de Port-Miou, Calanque de Sugiton, Calanque d'en Vau and Cosquer Cave."
"Tretyakov Gallery, Moscow, Russia",55.7413613,37.6202195782772,Tretyakov Gallery,"The State Tretyakov Gallery (Russian: Государственная Третьяковская Галерея, romanized: Gosudarstvennaya Tretyakovskaya Galereya; abbreviated ГТГ, GTG) is an art gallery in Moscow, Russia, which is considered the foremost depository of Russian fine art in the world.
The gallery's history starts in 1856 when the Muscovite merchant Pavel Mikhailovich Tretyakov acquired works by Russian artists of his day with the aim of creating a collection, which might later grow into a museum of national art. In 1892, Tretyakov presented his already famous collection of approximately 2,000 works (1,362 paintings, 526 drawings, and 9 sculptures) to the Russian nation. The museum attracted 894,374 visitors in 2020 (down 68 percent from 2019, due to the COVID-19 pandemic).  It was 13th on the list of most-visited art museums in the world in 2020.
The façade of the gallery building was designed by the painter Viktor Vasnetsov in a peculiar Russian fairy-tale style. It was built in 1902–04 to the south from the Moscow Kremlin. During the 20th century, the gallery expanded to several neighboring buildings, including the 17th-century church of St. Nicholas in Tolmachi. The collection contains more than 130,000 exhibits, ranging from the Theotokos of Vladimir to the monumental Composition VII by Wassily Kandinsky and the Black Square by Kazimir Malevich. In 1977 the Gallery kept a significant part of the George Costakis collection.
In May 2012, the Tretyakov Art Gallery played host to the prestigious FIDE World Chess Championship between Viswanathan Anand and Boris Gelfand as the organizers felt the event would promote both chess and art at the same time. In May 2023, the Tretyakov Gallery refused to hand over one of its most famous icons, Andrei Rublev's Trinity, to the Russian Orthodox Church. In June 2023 the icon was transferred to Moscow's main cathedral despite the museum's protests on the personal order of Russian President Vladimir Putin.
Administratively, the State Tretyakov Gallery organisation also includes a gallery of contemporary art in another part of central Moscow, and a number of other satellite galleries, including one in Kaliningrad, in the extreme west of Russia, and one in Vladivostok, in the far east.

"
"Teatro alla Scala, Milan, Italy",45.46760475,9.18911762591573,La Scala,"La Scala (UK: , US: , Italian: [la ˈskaːla]; officially Teatro alla Scala [teˈaːtro alla ˈskaːla], lit. 'Theatre at the Scala') is a historic opera house in Milan, Italy. The theatre was inaugurated on 3 August 1778 and was originally known as il Nuovo Regio Ducale Teatro alla Scala (lit. 'the New Royal Ducal Theatre at the Scala', which was the former location of a church). The premiere performance was Antonio Salieri's Europa riconosciuta.
Most of Italy's greatest operatic artists, and many of the finest singers from around the world, have appeared at La Scala. The theatre is regarded as one of the leading opera and ballet theatres globally. It is home to the La Scala Theatre Chorus, La Scala Theatre Ballet, La Scala Theatre Orchestra, and the Filarmonica della Scala orchestra. The theatre also has an associate school, known as the La Scala Theatre Academy (Italian: Accademia Teatro alla Scala), which offers professional training in music, dance, stagecraft, and stage management."
"Königsallee, Düsseldorf, Germany",51.2187817,6.7791036,Königsallee (Düsseldorf),"The Königsallee (German pronunciation: [ˈkøːnɪçsʔaˌleː] ; literally ""King's Avenue"") is an urban boulevard in Düsseldorf, state capital of North Rhine-Westphalia, Germany. The Königsallee is noted for both the landscaped canal that runs along its center, as well as for the fashion showrooms and luxury retail stores located along its sides.
Nicknamed Kö (German pronunciation: [køː] ) by locals, the Königsallee is one of Germany's busiest upscale shopping streets."
"Széchenyi Thermal Bath, Budapest, Hungary",47.5184354,19.082522306777406,Széchenyi thermal bath,"The Széchenyi Medicinal Bath in Budapest (IPA: [seːtʃeːɲi], Hungarian: Széchenyi gyógyfürdő) is the largest medicinal bath in Europe. Its water is supplied by two thermal springs, their temperatures being 74 °C (165 °F) and 77 °C (171 °F) respectively.
Components of the thermal water include sulfate, calcium, magnesium, bicarbonate and a significant amount of metaboric acid and fluoride."
"Teatro Massimo, Palermo, Italy",38.1201712,13.357154434993587,Teatro Massimo,"The Teatro Massimo Vittorio Emanuele is an opera house and opera company located on the Piazza Verdi in Palermo, Sicily. It was dedicated to King Victor Emanuel II.
It is the biggest in Italy, and one of the largest of Europe (at the time of its inauguration, it was - with its area of 7730 m2 - the third largest opera house in Europe after the  Palais Garnier in Paris, and the K. K. Hof-Opernhaus in Vienna), renowned for its perfect acoustics."
"Rheinturm, Düsseldorf, Germany",51.217954950000006,6.761649583713205,Rheinturm,"The Rheinturm (pronounced [ˈʁaɪntʊʁm]; 'Rhine Tower') is a 240.5-metre-high (789 ft) concrete telecommunications tower in Düsseldorf, capital of the federal state (Bundesland) of North Rhine-Westphalia, Germany. Construction commenced in 1979 and finished in 1981. The Rheinturm carries aerials for directional radio, FM and TV transmitters.  It stands 172.5 metres high and houses a revolving restaurant and an observation deck at a height of 168 metres.  It is the tallest building in Düsseldorf.
The Rheinturm was inaugurated on 1 December 1981. It contains 7,500 cubic metres of concrete and weighs 22,500 tons. Before October 15, 2004, when an aerial antenna for DVB-T was mounted, it was 234.2 metres high. The observation deck is open to public daily from 10:00 to 23:30.
As a special attraction, a light sculpture on its shaft works as a clock. This sculpture was designed by Horst H. Baumann and is called Lichtzeitpegel (light time level). The light sculpture on the Rheinturm is the largest digital clock in the world. The clock is a 24-hour clock with six sets of lights, two each for the Hour (00 to 24), Minutes (00 to 60), and Seconds (00 to 60), to be read from top to bottom."
"Toompea Castle, Tallinn, Estonia",59.43574435,24.73737630781607,Toompea Castle,"Toompea castle (Estonian: Toompea loss) is a medieval castle on Toompea hill in the central part of Tallinn, the capital of Estonia. In modern times, it houses the Parliament of Estonia."
"Valencia Cathedral, Valencia, Spain",39.475575649999996,-0.37512389315515277,Valencia Cathedral,"Valencia Cathedral, at greater length the Metropolitan Cathedral–Basilica of the Assumption of Our Lady of Valencia (Spanish: Iglesia Catedral-Basílica Metropolitana de la Asunción de Nuestra Señora de Valencia, Valencian: Església Catedral-Basílica Metropolitana de l'Assumpció de la Mare de Déu de València), also known as St Mary's Cathedral, is a Roman Catholic church in Valencia, Spain.
The cathedral was consecrated in 1238 by the first bishop of Valencia after the Reconquista, Pere d'Albalat, Archbishop of Tarragona, and was dedicated to Saint Mary by order of James I the Conqueror. It was built over the site of the former Visigothic cathedral, which under the Moors had been turned into a mosque. Valencian Gothic is the predominant architectural style of the cathedral, although it also contains Romanesque, French Gothic, Renaissance, Baroque and Neoclassical elements.
The cathedral contains numerous 15th-century paintings, some by local artists (such as Jacomart), others by artists from Rome engaged by the Valencian Pope Alexander VI who, when still a cardinal, made the request to elevate the Valencian See to the rank of metropolitan see, a category granted by Pope Innocent VIII in 1492.
A purported Holy Chalice, believed by many to be the true Holy Grail, is kept in one of the cathedral's chapels.

"
"Pont Neuf, Toulouse, France",43.599342050000004,1.4390645139527436,"Pont Neuf, Toulouse","The Pont Neuf, French for ""New Bridge"" (a.k.a. Pont de Pierre and Grand Pont), is a bridge from the 16th and 17th centuries in Toulouse, in the South of France.
Begun in 1544 and completed in 1632, its construction was made particularly long and difficult by the violent floods of the Garonne and the unstable nature of the subsoil. The architect Jacques Lemercier, who carried out the work at the beginning of the 17th century, made it an innovative bridge for its time."
"Palace of the Popes, Avignon, France",43.95070815,4.807685123877857,Palais des Papes,"The Palais des Papes (English: Palace of the Popes; lo Palais dei Papas in Occitan) is a historical palace located in Avignon, Southern France. It is one of the largest and most important medieval Gothic buildings in Europe. Once a fortress and palace, the papal residence was a seat of Western Christianity during the 14th century. Six papal conclaves were held in the Palais, leading to the elections of Benedict XII in 1334, Clement VI in 1342, Innocent VI in 1352, Urban V in 1362, Gregory XI in 1370 and Benedict XIII in 1394. Since 1995, the Palais des Papes has been classified, along with the historic center of Avignon, as a UNESCO World Heritage Site, for its outstanding architecture and historical importance for the papacy.

"
