landmark,latitude,longitude,wiki_title,image_url,wiki_content
Madriu-Perafita-Claror Valley,42.49472222,1.595555556,Madriu-Perafita-Claror Valley,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Refuge_perafita_andorra.jpg/500px-Refuge_perafita_andorra.jpg,"The Madriu-Perafita-Claror Valley (Catalan: Vall del Madriu-Perafita-Claror) is a glacial valley in the southeast of Andorra.  It covers an area of 42.47 km2, approximately 9% of the total area of Andorra, and is part of the second largest watershed basin in Andorra.  The isolated valley is recognised as a haven for rare or endangered wildlife, and the undeveloped valley has recently been considered to be the ""spiritual heart"" of Andorra.  It became Andorra's first, and to date its only, UNESCO World Heritage Site in 2004, with a small extension in 2006.

"
"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",-6.268888889,14.24972222,M'banza-Kongo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/The_Bansa%2C_or_residence_of_the_King_of_Kongo%2C_called_St._Salvador_%28M%27Banza_Kongo%29%2C_Astley_1745.jpg/500px-The_Bansa%2C_or_residence_of_the_King_of_Kongo%2C_called_St._Salvador_%28M%27Banza_Kongo%29%2C_Astley_1745.jpg,"M'banza-Kongo (Portuguese pronunciation: [ɐ̃ˈbɐ̃zɐ], [ĩˈbɐ̃zɐ], [mɨˈβɐ̃zɐ] or [miˈβɐ̃zɐ ˈkõɡu], known as São Salvador in Portuguese from 1570 to 1976; Kongo: Mbânza Kôngo), is the capital of Angola's northwestern Zaire Province with a population of 148,000 in 2014. M'banza Kongo was  the capital of the Kingdom of Kongo since its foundation before the arrival of the Portuguese in 1483 until the abolition of the kingdom in 1915, aside from a brief period of abandonment during civil wars in the 17th century.
In 2017, M'banza Kongo was declared a UNESCO World Heritage Site."
Antigua Naval Dockyard and Related Archaeological Sites,17.00694444,-61.76166667,Antigua Naval Dockyard and Related Archaeological Sites,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Nelson%27s_Dockyard.jpg/500px-Nelson%27s_Dockyard.jpg,"The Antigua Naval Dockyard and Related Archaeological Sites is a 255 ha (630 acres) UNESCO World Heritage Site in Saint Paul Parish, Antigua, Antigua and Barbuda. It constitutes a collection of Georgian era naval structures, namely a naval dockyard and related supporting compounds. This maritime complex was established during a period marked by intense competition among European nations vying for dominance at sea to secure authority over the profitable sugar-producing islands in the Eastern Caribbean."
Los Glaciares National Park,-50.0,-73.24944,Los Glaciares National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/SantaCruz-LosGlaciares-P2150249b.jpg/500px-SantaCruz-LosGlaciares-P2150249b.jpg,"Los Glaciares National Park (Spanish: Parque Nacional Los Glaciares) is a federal protected area in Santa Cruz Province, Argentina.
The park covers an area of 726,927 ha (7,269.27 km2; 2,806.68 sq mi), making it the largest national park in the country.
Established on 11 May 1937, it hosts a representative sample of Magellanic subpolar forest and west Patagonian steppe biodiversity in good state of conservation. In 1981, it was declared a World Heritage Site by UNESCO.
The park's name refers to the giant ice cap in the Andes, the largest outside of Antarctica, Greenland and Iceland, feeding 47 large glaciers, of which 13 flow towards the Pacific Ocean. In other parts of the world, glaciers start at a height of at least 2,500 m (8,200 ft) above mean sea level, but due to the size of the ice cap, these glaciers begin at only 1,500 m (4,900 ft), sliding down to 200 m (660 ft). Los Glaciares borders Torres del Paine National Park to the south in Chilean territory."
Iguazu National Park,-25.51805556,-54.13333333,Iguazú National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Iguazu_National_Park_Falls.jpg/500px-Iguazu_National_Park_Falls.jpg,"The Iguazú National Park (Spanish: Parque Nacional Iguazú) is a national park of Argentina, located in the Iguazú Department, in the north of the province of Misiones, Argentine Mesopotamia. It has an area of 677 km2 (261 sq mi)."
"Cueva de las Manos, Río Pinturas",-47.15,-70.66666667,Cueva de las Manos,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/SantaCruz-CuevaManos-P2210651b.jpg/500px-SantaCruz-CuevaManos-P2210651b.jpg,"Cueva de las Manos (Spanish for Cave of the Hands or Cave of Hands) is a cave and complex of rock art sites in the province of Santa Cruz, Argentina, 163 km (101 mi) south of the town of Perito Moreno. It is named for the hundreds of paintings of hands stenciled, in multiple collages, on the rock walls. The art was created in several waves between 7,300 BC and 700 AD, during the Archaic period of pre-Columbian South America. The age of the paintings was calculated from the remains of bone pipes used for spraying the paint on the wall of the cave to create the artwork, radiocarbon dating of the artwork, and stratigraphic dating.
The site is considered by some scholars to be the best material evidence of early South American hunter-gatherer groups. Argentine surveyor and archaeologist Carlos J. Gradin and his team conducted the most important research on the site in 1964, when they began excavating sites during a 30-year study of cave art in and around Cueva de las Manos. The site is a National Historic Monument in Argentina and a UNESCO World Heritage Site."
Península Valdés,-42.5,-64.0,Valdés Peninsula,https://upload.wikimedia.org/wikipedia/commons/2/2d/Peninsula_Vald%C3%A9s_STS-68.jpg,"The Valdes Peninsula (Spanish: Península Valdés) is a peninsula into the Atlantic Ocean in the Viedma Department of north-east Chubut Province, Argentina. Around 3,625 km2 (896,000 acres; 1,400 sq mi) in size (not taking into account the isthmus of Carlos Ameghino which connects the peninsula to the mainland), it is an important nature reserve which was listed as a World Heritage Site by UNESCO in 1999.

"
Ischigualasto / Talampaya Natural Parks,-30.0,-68.0,Ischigualasto Provincial Park,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Ischigualasto_provincial_park.jpg/500px-Ischigualasto_provincial_park.jpg,"Ischigualasto Provincial Park (Spanish: Parque Provincial Ischigualasto), also called Valle de la Luna (""Valley of the Moon"" or ""Moon Valley""), due to its moon like appearance, is a provincial protected area in the north-east of San Juan Province, north-western Argentina, limiting to the north with the Talampaya National Park, in La Rioja Province. Both areas belong to the same geological formation, the Ischigualasto Formation (sometimes called the Ischigualasto-Talampaya Formation).
Established on 3 November 1971, the park has an area of 60,370 ha (603.7 km2; 233.1 sq mi).
In 2000, UNESCO included Ischigualasto and Talampaya National Park among its World Heritage Sites."
Jesuit Block and Estancias of Córdoba,-31.42056,-64.19111,Jesuit Block and Estancias of Córdoba,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/AltaGracia.jpg/500px-AltaGracia.jpg,"The Jesuit Block and Estancias of Córdoba (Spanish: Manzana Jesuítica y Estancias de Córdoba) are a former Jesuit reduction built by missionaries in the  province of Córdoba, Argentina, named a World Heritage Site in 2000.
The Manzana Jesuítica contains the University of Córdoba, one of the oldest in South America, the Monserrat Secondary School, a church, and residence buildings. To maintain such a project, the Jesuits operated six Estancias (residences) around the province of Córdoba, named Caroya, Jesús María, Santa Catalina, Alta Gracia, Candelaria, and San Ignacio.
The farm and the complex, started in 1615, had to be left by the Jesuits, following the 1767 decree by King Charles III of Spain that expelled them from the continent. They were then run by the Franciscans until 1853, when the Jesuits returned to The Americas. Nevertheless, the university and the high-school were nationalized a year later.
Each Estancia has its own church and set of  buildings, around which towns grew, such as Alta Gracia, the closest to the Block. The Jesuit Block and the Estancias can be visited by tourists; the Road of the Jesuit Estancias is approximately 250 kilometres (160 mi) in length.
Jorge Mario Bergoglio, who would later become Pope Francis, lived there."
Quebrada de Humahuaca,-23.19986111,-65.34886111,Quebrada de Humahuaca,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/AR378-Quebrada_de_Humahuaca.jpg/500px-AR378-Quebrada_de_Humahuaca.jpg,"The Quebrada de Humahuaca is a narrow mountain valley located in the province of Jujuy in northwest Argentina, 1,649 km (1,025 mi) north of Buenos Aires (23°11′59″S 65°20′56″W). It is about 155 km (96 mi) long, oriented north–south, bordered by the Altiplano in the west and north, by the Sub-Andean hills in the east, and by the warm valleys (Valles Templados) in the south.
The name quebrada (literally ""broken"") translates as a deep valley or ravine. It receives its name from Humahuaca, a small city of 11,000 inhabitants. The Grande River (Río Grande), which is dry in winter, flows copiously through the Quebrada in the summer.
The region has always been a crossroads for economic, social and cultural communication. It has been populated for at least 10,000 years, since the settlement of the first hunter-gatherers, which is evidenced by substantial prehistoric remains. In particular, many stone-walled agricultural terraces, thought to originate more than 1500 years ago, are found throughout the region and are still in use today. The field system links a series of fortified towns called pucaras. The valley was later a caravan road for the Inca Empire in the 15th century, then an important link between the Viceroyalty of the Río de la Plata and the Viceroyalty of Peru, as well as a stage for many battles of the Spanish War of Independence.
The Quebrada de Humahuaca was designated a protected landscape in 2000. It was made a UNESCO World Heritage Site on 2 July 2003."
Los Alerces National Park,-42.8528,-71.8728,Los Alerces National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Mapacomarca.gif/500px-Mapacomarca.gif,"Los Alerces National Park (Spanish: Parque Nacional Los Alerces) is  located in the Andes in Chubut Province in the Patagonian region of Argentina.  Its western boundary coincides with the Chilean border. Successive glaciations have molded the landscape in the region creating spectacular features such as moraines, glacial cirques and clear-water lakes. The vegetation is dominated by dense temperate forests, which give way to alpine meadows higher up under the rocky Andean peaks. A highly distinctive and emblematic feature is its alerce forest; the globally threatened alerce tree is the second longest living tree species in the world (>3,600 years). The alerce forests in the park are in an excellent state of conservation. The property is vital for the protection of some of the last portions of continuous Patagonian Forest in an almost pristine state and is the habitat for a number of endemic and threatened species of flora and fauna."
Monasteries of Haghpat and Sanahin,41.095,44.71028,Haghpat Monastery,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Haghpat_Monastery_-_Ancient_Christian_Manuscripts_were_saved_in_kveri_below_the_floor_-_panoramio.jpg/500px-Haghpat_Monastery_-_Ancient_Christian_Manuscripts_were_saved_in_kveri_below_the_floor_-_panoramio.jpg,"Haghpat Monastery, also known as Haghpatavank (Armenian: Հաղպատավանք), is a medieval monastery complex in Haghpat, Armenia, built between the 10th and 13th century."
Monastery of Geghard and the Upper Azat Valley,40.15889,44.79667,Geghard,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Monasterio_de_Geghard%2C_Armenia%2C_2016-10-02%2C_DD_63.jpg/500px-Monasterio_de_Geghard%2C_Armenia%2C_2016-10-02%2C_DD_63.jpg,"Geghard (Armenian: Գեղարդ, meaning ""spear"") is a medieval monastery in the Kotayk province of Armenia, being partially carved out of the adjacent mountain, surrounded by cliffs. It is listed as a UNESCO World Heritage Site with enhanced protection status.
While the main chapel was built in 1215, the monastery complex was founded in the 4th century by Gregory the Illuminator at the site of a sacred spring inside a cave. The monastery had thus been originally named Ayrivank (Այրիվանք), meaning ""the Monastery of the Cave"". The name commonly used for the monastery today, Geghard, or more fully Geghardavank (Գեղարդավանք), meaning ""the Monastery of the Spear"", originates from the spear which had wounded Jesus at the Crucifixion, allegedly brought to Armenia by Apostle Jude, called here Thaddeus, and stored amongst many other relics. Now it is displayed in the Echmiadzin treasury.
The spectacular towering cliffs surrounding the monastery are part of the Azat River gorge, and are included together with the monastery in the World Heritage Site listing. Some of the churches within the monastery complex are entirely dug out of the cliff rocks, others are little more than caves, while others are elaborate structures, with both architecturally complex walled sections and rooms deep inside the cliff. The combination, together with numerous engraved and free-standing khachkars is a unique sight, being one of the most frequented tourist destinations in Armenia.
Most visitors to Geghard also choose to visit the nearby pagan Temple of Garni,  located further down the Azat River. Visiting both sites in one trip is so common that they are often referred to in unison as Garni-Geghard.

"
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,40.15931,44.29514,Vagharshapat,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/%D4%B7%D5%BB%D5%B4%D5%AB%D5%A1%D5%AE%D5%B6%D5%AB_%D5%84%D5%A1%D5%B5%D6%80_%D5%8F%D5%A1%D5%B3%D5%A1%D6%80.jpg/500px-%D4%B7%D5%BB%D5%B4%D5%AB%D5%A1%D5%AE%D5%B6%D5%AB_%D5%84%D5%A1%D5%B5%D6%80_%D5%8F%D5%A1%D5%B3%D5%A1%D6%80.jpg,"Vagharshapat (Armenian: Վաղարշապատ pronounced [vɑʁɑɾʃɑˈpɑt]) is the 4th-largest city in Armenia and the most populous municipal community of Armavir Province, located about 18 km (11 mi) west of the capital Yerevan, and 10 km (6 mi) north of the closed Turkish-Armenian border. It is commonly known as Ejmiatsin (also spelled Echmiadzin or Etchmiadzin, Էջմիածին, pronounced [ɛt͡ʃʰmjɑˈt͡sin] ), which was its official name between 1945 and 1995. It is still commonly used colloquially and in official bureaucracy, a case of dual naming.
The city is best known as the location of Etchmiadzin Cathedral and Mother See of Holy Etchmiadzin, the center of the Armenian Apostolic Church. It is thus unofficially known in Western sources as a ""holy city"" and in Armenia as the country's ""spiritual capital"". It was one of the major cities and a capital of the ancient Kingdom of Greater Armenia. Reduced to a small town by the early 20th century, it experienced large expansion during the Soviet period becoming, effectively, a suburb of Yerevan. Its population stands just over 37,000 based on 2016 estimates."
Kakadu National Park,-12.83333333,132.8333333,Kakadu National Park,https://upload.wikimedia.org/wikipedia/commons/9/93/Kakadu_2431.jpg,"Kakadu National Park is a protected area in the Northern Territory of Australia, 171 km (106 mi) southeast of Darwin. It is a World Heritage Site. Kakadu is also gazetted as a locality, covering the same area as the national park, with 313 people recorded living there in the 2016 Australian census.
Kakadu National Park is located within the Alligator Rivers Region of the Northern Territory, covering an area of 19,804 km2 (7,646 sq mi), extending nearly 200 kilometres (124 mi) from north to south and over 100 kilometres (62 mi) from east to west. It is roughly the size of Wales or one-third the size of Tasmania, and is the second-largest national park in Australia, after the Munga-Thirri–Simpson Desert National Park. Most of the region is owned by the Aboriginal traditional owners, who have occupied the land for around 60,000 years and, today, manage the park jointly with Parks Australia. It is highly ecologically and biologically diverse, hosting a wide range of habitats and flora and fauna. It also includes a rich heritage of Aboriginal rock art, including highly significant sites, such as Ubirr. Kakadu is fully protected by the EPBC Act.
The Ranger Uranium Mine site, one of the most productive uranium mines in the world until it ceased operations in January 2021, is surrounded by the park.
Domestic Asian water buffalo, which are now an established feral population and invasive environmental pests, were released into the area in the late 19th century. Feral pigs, cats, red foxes and rabbits are further examples of invasive species, all of which compete with and wreak havoc upon the sensitive, unique ecosystems of the Northern Territory, and of the whole of Australia. These species were intentionally brought to the continent by the early settlers, pastoralists, and missionaries. The European presence, albeit less than in more populated regions (on the east and west coasts), was still felt. In Kakadu, missionaries established a mission at Oenpelli (present-day Gunbalanya) in 1925. A few pastoralists, crocodile-hunters and wood cutters also made a living in the area at various times up until the early 20th century. The area was progressively given protected status from the 1970s onward."
Great Barrier Reef,-18.28611111,147.7,Great Barrier Reef,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/ISS-45_StoryOfWater%2C_Great_Barrier_Reef%2C_Australia.jpg/500px-ISS-45_StoryOfWater%2C_Great_Barrier_Reef%2C_Australia.jpg,"The Great Barrier Reef is the world's largest coral reef system, composed of over 2,900 individual reefs and 900 islands stretching for over 2,300 kilometres (1,400 mi) over an area of approximately 344,400 square kilometres (133,000 sq mi). The reef is located in the Coral Sea, off the coast of Queensland, Australia, separated from the coast by a channel 160 kilometres (100 mi) wide in places and over 61 metres (200 ft) deep. The Great Barrier Reef can be seen from outer space and is the world's biggest single structure made by living organisms. This reef structure is composed of and built by billions of tiny organisms, known as coral polyps. It supports a wide diversity of life and was selected as a World Heritage Site in 1981. CNN labelled it one of the Seven Natural Wonders of the World in 1997. Australian World Heritage places included it in its list in 2007. The Queensland National Trust named it a state icon of Queensland in 2006.
A large part of the reef is protected by the Great Barrier Reef Marine Park, which helps to limit the impact of human use, such as fishing and tourism. Other environmental pressures on the reef and its ecosystem include runoff of humanmade pollutants, climate change accompanied by mass coral bleaching, dumping of dredging sludge and cyclic population outbreaks of the crown-of-thorns starfish. According to a study published in October 2012 by the Proceedings of the National Academy of Sciences, the reef has lost more than half its coral cover since 1985, a finding reaffirmed by a 2020 study which found over half of the reef's coral cover to have been lost between 1995 and 2017, with the effects of a widespread 2020 bleaching event not yet quantified.
The Great Barrier Reef has long been known to and used by the Aboriginal Australian and Torres Strait Islander peoples, and is an important part of local groups' cultures and spirituality. The reef is a very popular destination for tourists, especially in the Whitsunday Islands and Cairns regions. Tourism is an important economic activity for the region, generating over AUD$3 billion per year. In November 2014, Google launched Google Underwater Street View in 3D of the Great Barrier Reef.
A March 2016 report stated that coral bleaching was more widespread than previously thought, seriously affecting the northern parts of the reef as a result of warming ocean temperatures. In October 2016, Outside published an obituary for the reef; the article was criticised for being premature and hindering efforts to bolster the resilience of the reef. In March 2017, the journal Nature published a paper showing that huge sections of an 800-kilometre (500 mi) stretch in the northern part of the reef had died in the course of 2016 of high water temperatures, an event that the authors put down to the effects of global climate change. The percentage of baby corals being born on the Great Barrier Reef dropped drastically in 2018 and scientists are describing it as the early stage of a ""huge natural selection event unfolding"". Many of the mature breeding adults died in the bleaching events of 2016–17, leading to low coral birth rates. The types of corals that reproduced also changed, leading to a ""long-term reorganisation of the reef ecosystem if the trend continues.""
The Great Barrier Reef Marine Park Act 1975 (section 54) stipulates an Outlook Report on the Reef's health, pressures, and future every five years. The last report was published in 2019. In March 2022, another mass bleaching event has been confirmed, which raised further concerns about the future of this reef system, especially when considering the possible effects of El Niño weather phenomenon.
The Australian Institute of Marine Science conducts annual surveys of the Great Barrier Reef's status, and the 2022 report showed the greatest recovery in 36 years. It is mainly due to the regrowth of two-thirds of the reef by the fast-growing Acropora coral, which is the dominant coral there."
